id,Nombre,Img,cats,Beneficios,Tags,Forma,Tamaño,notaAdvertencia,familia
102049,Arroz exfoliante,Assets\Images\Exfoliante_arroz.webp,Exfoliante,"|||Exfoliación física suave con arroz molido: ayuda a remover células muertas y a mejorar el tacto.|||Deja la piel mas lisa en zonas asperas (codos, rodillas, talones).|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que no satura.|||Perfecto como complemento 2–3 veces por semana.",NS,solido,120 g,Evita rostro/ojos y piel irritada.,Jabon solido
102050,Azufre,Assets\Images\Azufre.png,Exfoliante,"|||Limpieza profunda con sensación purificante al enjuagar.|||Ayuda a que la piel se sienta menos brillante y con textura mas uniforme con uso constante.|||Base de glicerina: enjuague fácil, sin sensación pegajosa.|||Espuma ligera, pensada para piel mixta/grasa en rutina diurna.|||opción ideal cuando buscas un reset después de calor o actividad.","NS, AL",solido,100 g,"Puede resecar en piel sensible. Evita rostro y contorno de ojos. usalo max. 1 vez al dia (o dias alternos si notas tirantez). Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102051,Durazno,Assets\Images\Durazno.webp,Aromáticos,"|||Aroma frutal jugoso que vuelve la ducha fresca y alegre.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo al secar.|||Perfil dulce y suave que acompaña sin empalagar.|||Ideal para rutina diurna o climas cálidos.","NS, AL",solido,100 g,"Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102052,Eucalipto con Bugambilia y Menta,Assets\Images\Euca_Buga_Men.png,Aromáticos,"|||Sensación fresca y vigorizante: menta + eucalipto para un baño que despeja.|||Astringencia ligera: la piel se siente con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera ideal para rutina diurna o después de actividad.|||Toque floral de bugambilia que suaviza el perfil herbal sin invadir.","NS, AL",solido,100 g,"Evita contorno de ojos y mucosas. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102053,"Gengibre con limón, curcuma y canela",Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma cítrico–especiado que activa la rutina y deja sensación fresca.|||Astringencia ligera: piel con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que acompaña sin empalagar.|||Perfil sensorial energizante ideal para la mañana.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos y compuestos fotosensibilizantes. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102054,"Gengibre con naranja, curcuma y canela",Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma cítrico–especiado (naranja + jengibre) que activa y deja sensación fresca.|||Astringencia ligera: piel con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que acompaña sin empalagar.|||Perfil sensorial energizante ideal para la mañana o climas cálidos.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos y compuestos fotosensibilizantes. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102055,Miel con canela,Assets\Images\Miel_Canela.webp,Aromáticos,"|||Aroma dulce-especiado que vuelve la ducha reconfortante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo tras el secado.|||Perfil cálido ideal para rutina nocturna o climas frescos.|||Combina nota miel con toque canela sin empalagar","NS, AL",solido,100 g,"Contiene derivados de abeja y fragancia especiada; puede incluir alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102056,Miel con canela y pétalos de rosa,Assets\Images\Miel_canela_petalos.png,Exfoliante,"|||Aroma dulce–floral con toque especiado que vuelve la ducha reconfortante y elegante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo al secar.|||Los petalos de rosa aportan un detalle sensorial y visual tipo spa.|||Ideal para rutina nocturna o climas frescos.","NS, AL",solido,100 g,"Puede incluir alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, realiza prueba de parche; si irrita, suspende.",Jabon solido
102057,Neem,Assets\Images\Img_ndisponible.webp,Astringente,"|||Sensación purificante y de limpieza profunda al enjuagar.|||Ayuda a que la piel se sienta menos brillante y con textura mas uniforme con uso constante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, pensada para rutinas diurnas en piel mixta/grasa.|||Perfil aromático terroso/herbal caracteristico del neem","NS, AL",solido,100 g,"Puede sensibilizar piel muy reactiva. Evita el contorno de ojos. Si tu piel es muy sensible, realiza prueba de parche; si irrita, suspende.",Jabon solido
102058,Neem con caléndula,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Sensación purificante y de limpieza profunda al enjuagar (neem).|||Piel con menos brillo y apariencia mas uniforme con uso constante.|||Toque de confort gracias a la caléndula, para una rutina mas amable.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera pensada para piel mixta/grasa en rutina diurna.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
103003,Almendras,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma suave y cálido tipo mazapán que acompaña sin invadir.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Aporta confort y sensación emoliente en piel normal a seca.|||Espuma cremosa que hace la rutina rápida y agradable.|||Ideal para baño nocturno por su perfil reconfortante.","NS, AL",Liquido,1000 ml,"Si tiene alergia a frutos secos o piel muy reactiva, mejor elija entre nuestros jabónes ""Sencibles"" o pruebe otra fragancia de esta línea.",Jabon liquido
103005,Aloe vera,Assets\Images\Img_ndisponible.webp,Piel sensible,"|||Humectacion inmediata: ayuda a retener agua y reduce la sensación de tirantez.|||Efecto calmante y refrescante tras ducha; acompaña pieles que se irritan fácil.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Aporta confort en climas calurosos o después de exposición solar ligera.|||Espuma ligera pensada para uso cotidiano y pieles que buscan suavidad.",S,Liquido,1000 ml,,Jabon liquido
103009,Árnica,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma herbal intenso que acompaña rutinas post-dia/post-entreno con sensación reconfortante.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Aporta una sensación de frescura al finalizar el baño.|||Espuma ligera que no satura; ideal para uso en cuerpo.|||Deja la piel con tacto limpio y aroma verde tipo spa.","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos. No recomendado para piel muy reactiva. Evita rostro/contorno de ojos y piel lesionada o irritada. Haz prueba de parche; si irrita, suspende.",Jabon liquido
103059,Avena,Assets\Images\Img_ndisponible.webp,Piel sensible,"|||Sensación de calma y suavidad para piel que se irrita fácil.|||Base de glicerina: limpieza gentil y enjuague fácil, sin sensación pegajosa.|||Espuma ligera pensada para uso diario.|||Ayuda a reducir la sensación de tirantez post-ducha.|||Perfil neutro",S,Liquido,1000 ml,Puede contener alergenos aromáticos.,Jabon liquido
103020,Chocolate,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma gourmand cálido tipo cacao que vuelve el baño reconfortante.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Deja tacto mas flexible; buena opción para piel normal a seca.|||Espuma cremosa ideal para rutina nocturna o climas frios.|||Perfil sensorial envolvente sin llegar a empalagar.","NS, AL",Liquido,1000 ml,"Evita en piel muy reactiva y el contorno de ojos, usar max. 2–3 veces/semana.",Jabon liquido
103022,Coco,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma tropical cremoso que convierte la ducha en un momento reconfortante.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||sensación emoliente que deja el tacto mas flexible tras el secado.|||Espuma cremosa, ideal para rutina nocturna o climas secos.|||Perfil sensorial cálido que acompaña sin volverse invasivo.","NS, AL",Liquido,1000 ml,No recomendado para piel muy reactiva. Evita contorno de ojos y haz prueba de parche.,Jabon liquido
103066,Coco con miel,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma tropical y cálido con toque cremoso–dulce que hace la ducha reconfortante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo al secar.|||sensación emoliente ideal para climas secos o rutina nocturna.|||Perfil sensorial envolvente que acompaña sin empalagar","NS, AL",Liquido,1000 ml,"Contiene derivados de abeja y fragancia; puede incluir alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon liquido
103069,Frutos rojos,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma frutal jugoso (berries) que hace la ducha alegre y fresca.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo al secar.|||Perfil dulce y vibrante que acompaña sin empalagar.|||Ideal para rutina diurna o climas cálidos.","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon liquido
103027,Limón,Assets\Images\Img_ndisponible.webp,Astringente,"|||Aroma cítrico brillante que deja sensación fresca y limpia al enjuagar.|||Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para rutina diurna en piel normal/mixta.|||Perfil aromático que activa la rutina sin volverse invasivo.","NS, AL",Liquido,1000 ml,No recomendado para piel muy reactiva. Evita el contorno de ojos. Haz prueba de parche.,Jabon liquido
103029,Manzanilla,Assets\Images\Img_ndisponible.webp,Piel sensible,"|||sensación de calma y confort tras el baño, pensada para rutinas suaves.|||Base de glicerina: limpieza gentil, enjuague fácil, sin sensación pegajosa.|||Espuma ligera para uso diario en piel que se irrita con facilidad.|||Ayuda a disminuir la sensación de tirantez post-ducha.|||Perfil neutro y amable (ideal sin aromas intensos).",AL,Liquido,1000 ml,Precaución en personas con alergia a Asteraceae. Prueba de parche en piel muy reactiva.,Jabon liquido
103032,Miel,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma dulce y reconfortante que hace la ducha mas agradable.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Deja tacto mas flexible y sensación de confort tras el secado.|||Espuma cremosa, ideal para rutina nocturna o climas secos.|||Perfil sensorial cálido que acompaña sin volverse invasivo.","NS, AL",Liquido,1000 ml,Evitar en personas con alergia a productos de abeja y en piel muy reactiva. Se recomienda prueba de parche. No usar en contorno de ojos.,Jabon liquido
103036,Rosa de Castilla,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma floral elegante que convierte la ducha en un momento relajante.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Deja tacto cómodo y una sensación de piel fresca al secar.|||Espuma ligera/cremosa ideal para una rutina nocturna tipo spa.|||Perfil aromático sofisticado que acompaña sin invadir.","NS, AL",Liquido,1000 ml,"Fragancia floral; puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon liquido
103033,Romero,Assets\Images\Img_ndisponible.webp,Astringente,"|||Aroma herbal fresco que deja sensación limpia y despejada tras el enjuague.|||Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para rutina diurna o post-actividad.|||Perfil aromático que activa sin volverse invasivo ","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos; no recomendado para piel muy reactiva. Evita contorno de ojos y mucosas. Prueba de parche; si irrita, suspende.",Jabon liquido
103041,Vainilla,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma gourmand suave y reconfortante que envuelve sin empalagar.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo tras el secado.|||Ideal para rutina nocturna o climas secos por su perfil cálido.|||opción sensorial relajante para quien busca un baño “tipo postre”.","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon liquido
108001,Abre caminos,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma herbal intenso que deja sensación limpia y vigorizante.|||Limpieza amable con base de glicerina, enjuague fácil.|||Ideal para rutinas matutinas cuando buscas un efecto despeje.","NS, AL",Liquido,1000 ml,"Por los borániccos potentes, no recomendado para piel muy reactiva. Prueba de parche primero.",Jabon corporal
108003,Almendras,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma suave y cálido tipo mazapán que acompaña sin invadir.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Aporta confort y sensación emoliente en piel normal a seca.|||Espuma cremosa que hace la rutina rápida y agradable.|||Ideal para baño nocturno por su perfil reconfortante.","NS, AL",Liquido,1000 ml,"Si tiene alergia a frutos secos o piel muy reactiva, mejor elija entre nuestros jabónes ""Sencibles"" o pruebe otra fragancia de esta línea.",Jabon corporal
108005,Aloe Vera,Assets\Images\Img_ndisponible.webp,Piel sensible,"|||Humectacion inmediata: ayuda a retener agua y reduce la sensación de tirantez.|||Efecto calmante y refrescante tras ducha; acompaña pieles que se irritan fácil.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Aporta confort en climas calurosos o después de exposición solar ligera.|||Espuma ligera pensada para uso cotidiano y pieles que buscan suavidad.",S,Liquido,1000 ml,,Jabon corporal
108009,Árnica,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma herbal intenso que acompaña rutinas post-dia/post-entreno con sensación reconfortante.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Aporta una sensación de frescura al finalizar el baño.|||Espuma ligera que no satura; ideal para uso en cuerpo.|||Deja la piel con tacto limpio y aroma verde tipo spa.","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos. No recomendado para piel muy reactiva. Evita rostro/contorno de ojos y piel lesionada o irritada. Haz prueba de parche; si irrita, suspende.",Jabon corporal
108013,Avena para bebe,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma suave “bebe” que aporta sensación de confort y limpieza fresca.|||Base de glicerina: limpieza gentil, enjuague fácil, sin sensación pegajosa.|||La avena ayuda a dejar la piel con tacto mas suave tras el baño.|||Espuma ligera/cremosa que hace la rutina rápida y agradable.|||Ideal para quien busca un aroma tierno sin notas intensas.","NS, AL",Liquido,1000 ml,"En piel muy reactiva o con antecedentes de sensibilidad a fragancias, mejor elegir tu Avena sin perfume.",Jabon corporal
108012,Avena miel,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma dulce y reconfortante que hace mas agradable la rutina.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||La avena aporta suavidad y sensación de confort tras el baño.|||Espuma cremosa ideal para climas secos o uso nocturno.|||Deja tacto mas flexible cuando se seca sin fricción.","NS, AL",Liquido,1000 ml,Evitar en personas con alergia a productos de abeja o piel muy reactiva. Haz prueba de parche.,Jabon corporal
108020,Chocolate,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma gourmand cálido tipo cacao que vuelve el baño reconfortante.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Deja tacto mas flexible; buena opción para piel normal a seca.|||Espuma cremosa ideal para rutina nocturna o climas frios.|||Perfil sensorial envolvente sin llegar a empalagar.","NS, AL",Liquido,1000 ml,"Evita en piel muy reactiva y el contorno de ojos, usar max. 2–3 veces/semana.",Jabon corporal
108022,Coco,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma tropical cremoso que convierte la ducha en un momento reconfortante.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||sensación emoliente que deja el tacto mas flexible tras el secado.|||Espuma cremosa, ideal para rutina nocturna o climas secos.|||Perfil sensorial cálido que acompaña sin volverse invasivo.","NS, AL",Liquido,1000 ml,No recomendado para piel muy reactiva. Evita contorno de ojos y haz prueba de parche.,Jabon corporal
108066,Coco con miel,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma tropical y cálido con toque cremoso–dulce que hace la ducha reconfortante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo al secar.|||sensación emoliente ideal para climas secos o rutina nocturna.|||Perfil sensorial envolvente que acompaña sin empalagar","NS, AL",Liquido,1000 ml,"Contiene derivados de abeja y fragancia; puede incluir alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon corporal
108052,Eucalipto con Bugambilia y Menta,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Sensación fresca y vigorizante: menta + eucalipto para un baño que despeja.|||Astringencia ligera: la piel se siente con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera ideal para rutina diurna o después de actividad.|||Toque floral de bugambilia que suaviza el perfil herbal sin invadir.","NS, AL",Liquido,1000 ml,"Evita contorno de ojos y mucosas. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon corporal
108069,Frutos rojos,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma frutal jugoso (berries) que hace la ducha alegre y fresca.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo al secar.|||Perfil dulce y vibrante que acompaña sin empalagar.|||Ideal para rutina diurna o climas cálidos.","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon corporal
108070,"Jengibre con limón, cúrcuma y canela",Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma cítrico–especiado que activa y deja sensación fresca.|||Astringencia ligera: piel con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que acompaña sin empalagar.|||Perfil energizante ideal para la mañana.","NS, AL",Liquido,1000 ml,"puede contener alergenos aromáticos y compuestos fotosensibilizantes. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon corporal
108026,Lavanda,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma floral-relajante tipo spa, ideal para rutina nocturna.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo tras el secado.|||Acompaña una sensación de desconexión al final del dia.|||Perfil aromático suave.","NS, AL",Liquido,1000 ml,Evitar en piel muy reactiva y contorno de ojos. Prueba de parche.,Jabon corporal
108027,Limón,Assets\Images\Img_ndisponible.webp,Astringente,"|||Aroma cítrico brillante que deja sensación fresca y limpia al enjuagar.|||Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para rutina diurna en piel normal/mixta.|||Perfil aromático que activa la rutina sin volverse invasivo.","NS, AL",Liquido,1000 ml,No recomendado para piel muy reactiva. Evita el contorno de ojos. Haz prueba de parche.,Jabon corporal
108029,Manzanilla,Assets\Images\Img_ndisponible.webp,Piel sensible,"|||Sensación de calma y confort tras el baño, pensada para rutinas suaves.|||Base de glicerina: limpieza gentil, enjuague fácil, sin sensación pegajosa.|||Espuma ligera para uso diario en piel que se irrita con facilidad.|||Ayuda a disminuir la sensación de tirantez post-ducha.|||Perfil neutro y amable (ideal sin aromas intensos).",AL,Liquido,1000 ml,Precaución en personas con alergia a Asteraceae. Prueba de parche en piel muy reactiva.,Jabon corporal
108032,Miel,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma dulce y reconfortante que hace la ducha mas agradable.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Deja tacto mas flexible y sensación de confort tras el secado.|||Espuma cremosa, ideal para rutina nocturna o climas secos.|||Perfil sensorial cálido que acompaña sin volverse invasivo.","NS, AL",Liquido,1000 ml,Evitar en personas con alergia a productos de abeja y en piel muy reactiva. Se recomienda prueba de parche. No usar en contorno de ojos.,Jabon corporal
108058,Neem con caléndula,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Sensación purificante y de limpieza profunda al enjuagar (neem).|||Piel con menos brillo y apariencia mas uniforme con uso constante.|||Toque de confort gracias a la caléndula, para una rutina mas amable.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera pensada para piel mixta/grasa en rutina diurna.","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon corporal
108036,Rosa de Castilla,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma floral elegante que convierte la ducha en un momento relajante.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Deja tacto cómodo y una sensación de piel fresca al secar.|||Espuma ligera/cremosa ideal para una rutina nocturna tipo spa.|||Perfil aromático sofisticado que acompaña sin invadir.","NS, AL",Liquido,1000 ml,"Fragancia floral; puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon corporal
108033,Romero,Assets\Images\Img_ndisponible.webp,Astringente,"|||Aroma herbal fresco que deja sensación limpia y despejada tras el enjuague.|||Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para rutina diurna o post-actividad.|||Perfil aromático que activa sin volverse invasivo ","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos; no recomendado para piel muy reactiva. Evita contorno de ojos y mucosas. Prueba de parche; si irrita, suspende.",Jabon corporal
108041,Vainilla,Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma gourmand suave y reconfortante que envuelve sin empalagar.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo tras el secado.|||Ideal para rutina nocturna o climas secos por su perfil cálido.|||opción sensorial relajante para quien busca un baño “tipo postre”.","NS, AL",Liquido,1000 ml,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon corporal
108043,Vitamina E,Assets\Images\Img_ndisponible.webp,Aromáticos,|||Limpieza suave con base de glicerina y enjuague fácil.|||Con vitamina E (antioxidante) que acompaña una sensación de suavidad tras el baño.|||Espuma ligera/cremosa que no satura la piel.|||Deja tacto cómodo y flexible al secar sin fricción.|||opción neutra si vas con aroma discreto,AL,Liquido,1000 ml,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon corporal
102078,Cempasuchil,Assets\Images\Img_ndisponible.webp,Astringente,"|||Aroma floral–herbal inspirado en el cempasuchil que deja una sensación fresca al enjuagar.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que aporta confort en la ducha.|||Perfil vivo y festivo ideal para temporadas especiales o quien disfruta notas botánicas.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102031,Menta,Assets\Images\Menta.webp,Astringente,"|||Sensación fresca y vigorizante gracias al perfil mentolado; ideal para baño matutino.|||Astringencia ligera: deja la piel con sensación menos brillante tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera que no satura; buena para climas cálidos o después de actividad.|||Aroma herbal-menta que “despeja” sin volverse invasivo","NS, AL",solido,100 g,"Evita rostro/contorno de ojos y mucosas (puede arder). No recomendado para piel muy reactiva. Haz prueba de parche; si irrita, suspende.",Jabon solido
